day,month,year,continentExp,Country,cases,deaths,Doses administered per 100 people,Total doses administered,% of population vaccinated
2,5,2020,Asia,Afghanistan,164,4,33,12526397,30.0
1,5,2020,Asia,Afghanistan,222,4,33,12526397,30.0
30,4,2020,Asia,Afghanistan,122,0,33,12526397,30.0
29,4,2020,Asia,Afghanistan,124,3,33,12526397,30.0
28,4,2020,Asia,Afghanistan,172,0,33,12526397,30.0
27,4,2020,Asia,Afghanistan,68,10,33,12526397,30.0
26,4,2020,Asia,Afghanistan,112,4,33,12526397,30.0
25,4,2020,Asia,Afghanistan,70,1,33,12526397,30.0
24,4,2020,Asia,Afghanistan,105,2,33,12526397,30.0
23,4,2020,Asia,Afghanistan,84,4,33,12526397,30.0
22,4,2020,Asia,Afghanistan,61,1,33,12526397,30.0
21,4,2020,Asia,Afghanistan,35,2,33,12526397,30.0
20,4,2020,Asia,Afghanistan,88,3,33,12526397,30.0
19,4,2020,Asia,Afghanistan,63,0,33,12526397,30.0
18,4,2020,Asia,Afghanistan,51,1,33,12526397,30.0
17,4,2020,Asia,Afghanistan,10,4,33,12526397,30.0
16,4,2020,Asia,Afghanistan,70,2,33,12526397,30.0
15,4,2020,Asia,Afghanistan,49,2,33,12526397,30.0
14,4,2020,Asia,Afghanistan,58,3,33,12526397,30.0
13,4,2020,Asia,Afghanistan,52,0,33,12526397,30.0
12,4,2020,Asia,Afghanistan,34,3,33,12526397,30.0
11,4,2020,Asia,Afghanistan,37,0,33,12526397,30.0
10,4,2020,Asia,Afghanistan,61,1,33,12526397,30.0
9,4,2020,Asia,Afghanistan,56,3,33,12526397,30.0
8,4,2020,Asia,Afghanistan,30,4,33,12526397,30.0
7,4,2020,Asia,Afghanistan,38,0,33,12526397,30.0
6,4,2020,Asia,Afghanistan,29,2,33,12526397,30.0
5,4,2020,Asia,Afghanistan,35,1,33,12526397,30.0
4,4,2020,Asia,Afghanistan,0,0,33,12526397,30.0
3,4,2020,Asia,Afghanistan,43,0,33,12526397,30.0
2,4,2020,Asia,Afghanistan,26,0,33,12526397,30.0
1,4,2020,Asia,Afghanistan,25,0,33,12526397,30.0
31,3,2020,Asia,Afghanistan,27,0,33,12526397,30.0
30,3,2020,Asia,Afghanistan,8,1,33,12526397,30.0
29,3,2020,Asia,Afghanistan,15,1,33,12526397,30.0
28,3,2020,Asia,Afghanistan,16,1,33,12526397,30.0
27,3,2020,Asia,Afghanistan,0,0,33,12526397,30.0
26,3,2020,Asia,Afghanistan,33,0,33,12526397,30.0
25,3,2020,Asia,Afghanistan,2,0,33,12526397,30.0
24,3,2020,Asia,Afghanistan,6,1,33,12526397,30.0
23,3,2020,Asia,Afghanistan,10,0,33,12526397,30.0
22,3,2020,Asia,Afghanistan,0,0,33,12526397,30.0
21,3,2020,Asia,Afghanistan,2,0,33,12526397,30.0
20,3,2020,Asia,Afghanistan,0,0,33,12526397,30.0
19,3,2020,Asia,Afghanistan,0,0,33,12526397,30.0
18,3,2020,Asia,Afghanistan,1,0,33,12526397,30.0
17,3,2020,Asia,Afghanistan,5,0,33,12526397,30.0
16,3,2020,Asia,Afghanistan,6,0,33,12526397,30.0
15,3,2020,Asia,Afghanistan,3,0,33,12526397,30.0
11,3,2020,Asia,Afghanistan,3,0,33,12526397,30.0
8,3,2020,Asia,Afghanistan,3,0,33,12526397,30.0
2,3,2020,Asia,Afghanistan,0,0,33,12526397,30.0
1,3,2020,Asia,Afghanistan,0,0,33,12526397,30.0
29,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
28,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
27,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
26,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
25,2,2020,Asia,Afghanistan,1,0,33,12526397,30.0
24,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
23,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
22,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
21,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
20,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
19,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
18,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
17,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
16,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
15,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
14,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
13,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
12,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
11,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
10,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
9,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
8,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
7,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
6,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
5,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
4,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
3,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
2,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
1,2,2020,Asia,Afghanistan,0,0,33,12526397,30.0
31,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
30,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
29,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
28,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
27,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
26,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
25,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
24,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
23,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
22,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
21,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
20,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
19,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
18,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
17,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
16,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
15,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
14,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
13,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
12,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
11,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
10,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
9,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
8,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
7,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
6,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
5,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
4,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
3,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
2,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
1,1,2020,Asia,Afghanistan,0,0,33,12526397,30.0
31,12,2019,Asia,Afghanistan,0,0,33,12526397,30.0
14,12,2020,Europe,Albania,788,14,106,3025728,47.0
13,12,2020,Europe,Albania,879,12,106,3025728,47.0
12,12,2020,Europe,Albania,802,12,106,3025728,47.0
11,12,2020,Europe,Albania,873,14,106,3025728,47.0
10,12,2020,Europe,Albania,752,15,106,3025728,47.0
9,12,2020,Europe,Albania,753,14,106,3025728,47.0
8,12,2020,Europe,Albania,695,17,106,3025728,47.0
7,12,2020,Europe,Albania,840,16,106,3025728,47.0
6,12,2020,Europe,Albania,846,19,106,3025728,47.0
5,12,2020,Europe,Albania,801,18,106,3025728,47.0
4,12,2020,Europe,Albania,782,13,106,3025728,47.0
3,12,2020,Europe,Albania,705,17,106,3025728,47.0
2,12,2020,Europe,Albania,832,12,106,3025728,47.0
1,12,2020,Europe,Albania,557,12,106,3025728,47.0
